no.,section,chapter,heading,sub-heading,tariff,description
3564,07,40,4002,400260,40026090,"Rubber; synthetic, isoprene rubber (IR), in primary forms or in plates, sheets or strip - Other"
3565,07,40,4002,400270,40027010,"Rubber; synthetic, ethylenepropylenenonconjugated diene rubber (EPDM), in primary forms or in plates, sheets or strip - In primary forms"
3566,07,40,4002,400270,40027090,"Rubber; synthetic, ethylenepropylenenonconjugated diene rubber (EPDM), in primary forms or in plates, sheets or strip - Other"
3567,07,40,4002,400280,40028010,"Rubber; mixtures of natural and synthetic rubbers of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip - Mixtures of natural rubber latex with synthetic rubber latex"
3568,07,40,4002,400280,40028090,"Rubber; mixtures of natural and synthetic rubbers of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip - Other"
3569,07,40,4002,400291,40029100,"Rubber; synthetic, n.e.c. in heading 4002, latex, in primary forms or in plates, sheets or strip - Latex"
3570,07,40,4002,400299,40029920,"Rubber; synthetic, n.e.c. in heading 4002, (other than latex), in primary forms or in plates, sheets or strip - In primary forms or in unvulcanised, uncompounded plates, sheets or strip"
3571,07,40,4002,400299,40029990,"Rubber; synthetic, n.e.c. in heading 4002, (other than latex), in primary forms or in plates, sheets or strip - Other"
3572,07,40,4003,400300,40030000,"Reclaimed rubber in primary forms or in plates, sheets or strip."
3573,07,40,4004,400400,40040000,"Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom."
3574,07,40,4005,400510,40051010,"Rubber; unvulcanised, compounded with carbon black or silica, in primary forms or in plates, sheets or strip - Of natural gums"
3575,07,40,4005,400510,40051090,"Rubber; unvulcanised, compounded with carbon black or silica, in primary forms or in plates, sheets or strip - Other"
3576,07,40,4005,400520,40052000,"Rubber; unvulcanised, compounded, solutions and dispersions other than those of item no. 4005.10 - Solutions; dispersions other than those of subheading 4005.10"
3577,07,40,4005,400591,40059110,"Rubber; unvulcanised, (compounded other than with carbon black or silica), in plates, sheets and strip - Of natural gums"
3578,07,40,4005,400591,40059190,"Rubber; unvulcanised, (compounded other than with carbon black or silica), in plates, sheets and strip - Other"
3579,07,40,4005,400599,40059910,"Rubber; unvulcanised, (compounded other than with carbon black or silica), in primary forms, (other than plates, sheets, strip, solutions or dispersions) - Latex"
3580,07,40,4005,400599,40059920,"Rubber; unvulcanised, (compounded other than with carbon black or silica), in primary forms, (other than plates, sheets, strip, solutions or dispersions) - Natural rubber compounded with substances other than carbon  or silica"
3581,07,40,4005,400599,40059990,"Rubber; unvulcanised, (compounded other than with carbon black or silica), in primary forms, (other than plates, sheets, strip, solutions or dispersions) - Other"
3582,07,40,4006,400610,40061000,"Rubber; unvulcanised, camelback strips for retreading rubber tyres - “Camelback” strips for retreading rubber tyres"
3583,07,40,4006,400690,40069011,"Rubber; unvulcanised, other than camel back strips for retreading rubber tyres - Articles"
3584,07,40,4006,400690,40069019,"Rubber; unvulcanised, other than camel back strips for retreading rubber tyres - Other"
3585,07,40,4006,400690,40069090,"Rubber; unvulcanised, other than camel back strips for retreading rubber tyres - Other"
3586,07,40,4007,400700,40070000,Vulcanised rubber thread and cord.
3587,07,40,4008,400811,40081110,"Rubber; vulcanised (other than hard rubber), in plates, sheets and strip of cellular rubber - Exceeding 5 mm in thickness, lined with textile fabric on one side"
3588,07,40,4008,400811,40081120,"Rubber; vulcanised (other than hard rubber), in plates, sheets and strip of cellular rubber - Other, floor tiles and wall tiles"
3589,07,40,4008,400811,40081190,"Rubber; vulcanised (other than hard rubber), in plates, sheets and strip of cellular rubber - Other"
3590,07,40,4008,400819,40081900,"Rubber; vulcanised (other than hard rubber), cellular rubber, (other than in plates, sheets or strip) - Other"
3591,07,40,4008,400821,40082110,"Rubber; vulcanised (other than hard rubber), in plates, sheets and strip, of noncellular rubber - Exceeding 5 mm in thickness, lined with textile fabric on one side"
3592,07,40,4008,400821,40082120,"Rubber; vulcanised (other than hard rubber), in plates, sheets and strip, of noncellular rubber - Other, floor tiles and wall tiles"
3593,07,40,4008,400821,40082130,"Rubber; vulcanised (other than hard rubber), in plates, sheets and strip, of noncellular rubber - Water stop"
3594,07,40,4008,400821,40082140,"Rubber; vulcanised (other than hard rubber), in plates, sheets and strip, of noncellular rubber - Rubber soling sheet"
3595,07,40,4008,400821,40082190,"Rubber; vulcanised (other than hard rubber), in plates, sheets and strip, of noncellular rubber - Other"
3596,07,40,4008,400829,40082900,"Rubber; vulcanised (other than hard rubber), noncellular rubber, in forms other than plates, sheets or strip - Other"
3597,07,40,4009,400911,40091100,"Rubber; vulcanised (other than hard rubber), tubing, piping and hoses, not reinforced or otherwise combined with other materials, without fittings - Without fittings"
3598,07,40,4009,400912,40091210,"Rubber; vulcanised (other than hard rubber), tubing, piping and hoses, not reinforced or otherwise combined with other materials, with fittings - Mining slurry suction and discharge hoses"
3599,07,40,4009,400912,40091290,"Rubber; vulcanised (other than hard rubber), tubing, piping and hoses, not reinforced or otherwise combined with other materials, with fittings - Other"
3600,07,40,4009,400921,40092110,"Rubber; vulcanised (other than hard rubber), tubing, piping and hoses, reinforced or otherwise combined only with metal, without fittings - Mining slurry suction and discharge hoses"
3601,07,40,4009,400921,40092190,"Rubber; vulcanised (other than hard rubber), tubing, piping and hoses, reinforced or otherwise combined only with metal, without fittings - Other"
3602,07,40,4009,400922,40092210,"Rubber; vulcanised (other than hard rubber), tubing, piping and hoses, reinforced or otherwise combined only with metal, with fittings - Mining slurry suction and discharge hoses"
3603,07,40,4009,400922,40092290,"Rubber; vulcanised (other than hard rubber), tubing, piping and hoses, reinforced or otherwise combined only with metal, with fittings - Other"
3604,07,40,4009,400931,40093110,"Rubber; vulcanised (other than hard rubber), tubing, piping and hoses, reinforced or otherwise combined only with textile materials, without fittings - Mining slurry suction and discharge hoses"
3605,07,40,4009,400931,40093120,"Rubber; vulcanised (other than hard rubber), tubing, piping and hoses, reinforced or otherwise combined only with textile materials, without fittings - Rubber hose of a kind used for gas stove"
3606,07,40,4009,400931,40093191,"Rubber; vulcanised (other than hard rubber), tubing, piping and hoses, reinforced or otherwise combined only with textile materials, without fittings -  Fuel hoses, heater hoses and water hoses, of a kind used on motor vehicles of heading 87.02, 87.0"
3607,07,40,4009,400931,40093199,"Rubber; vulcanised (other than hard rubber), tubing, piping and hoses, reinforced or otherwise combined only with textile materials, without fittings -  Other"
3608,07,40,4009,400932,40093210,"Rubber; vulcanised (other than hard rubber), tubing, piping and hoses, reinforced or otherwise combined only with textile materials, with fittings - Mining slurry suction and discharge hoses"
3609,07,40,4009,400932,40093220,"Rubber; vulcanised (other than hard rubber), tubing, piping and hoses, reinforced or otherwise combined only with textile materials, with fittings - Rubber hose of a kind used for gas stove"
3610,07,40,4009,400932,40093290,"Rubber; vulcanised (other than hard rubber), tubing, piping and hoses, reinforced or otherwise combined only with textile materials, with fittings - Other"
3611,07,40,4009,400941,40094110,"Rubber; vulcanised (other than hard rubber), tubing, piping and hoses, reinforced or otherwise combined with materials other than metal or textiles, without fittings - Rubber hose of a kind used for gas stove"
